,Fsp3,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,tpsaEfficiency,Zagreb,XLogP,WPATH,WPOL,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,MW,VAdjMat,VABC,TopoPSA,LipinskiFailures,nRotB,topoShape,PetitjeanNumber,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,MLogP,nAtomLAC,nAtomP,nAtomLC,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,Kier1,Kier2,Kier3,HybRatio,nHBDon,nHBAcc,fragC,FMF,ECCEN,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,bpol,nB,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBase,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,nAtom,nAromBond,naAromAtom,apol,ALogP,ALogp2,AMR,nAcid,JPLogP,ligand,pK_AD42,pK_ref,pK_Vina
0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0.5526753873489783,116,-4.3100000000000005,1828,33,49.31523868551336,1.8967399494428212,27.95111461123805,19.42915198910186,8.52196262213617,373.3590248314763,5.643856189774724,355.48957011298967,206.23,1,14,0.8571428571428571,0.4615384615384615,0.4999999999999999,1.2770556027833722,3.504420864029582,0.0,1.2761859464658525,9.747036235804174,0.0,9.016823780463652,0.0,0.0,4.170795790194879,0.0,0.0,0.0,0.4714045207910317,0.0,0.3333333333333333,0.0,0.0,1.9,5,3,14,0,0,0,0,0,0,2,0,4,0,0,0,4,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,13.223140495867767,12.165289256198347,0.6666666666666666,3,10,1654.11,0.0,494,20.43879310982592,11.933335865724516,11.397727760329866,6.815686963582721,4.672979011120884,3.907924821660794,2.0283854784119573,1.0543699063004572,14.093283216197106,7.775293461482701,6.090945750357218,3.441464137797208,1.987639769614158,1.0798879173858296,0.5322288707120282,0.2705757936275475,3.811138866934657,4.186989894383474,6.461527689516545,1.3125689777468388,1.3281942591307208,1.272618665142979,2.598518319244804,0.0,0.4511844635310912,0.0,1.0188987004883654,0.0,0.0797588984322123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,2,7,1,0,32.80776099999999,25,11.801720961359138,16.015573107504714,-0.4004548584328611,0.482827497670678,3.703918493260247,10.016534571857708,1,1278.529876828634,1401.268650067424,1754.689299121788,1807.088018601028,1842.6291409174037,33.27569318815701,28.487645482962744,40.41652158326014,40.08563642804729,43.41775831656525,1.2335432041589858,-0.5395128805770313,-0.0129820164031679,0.2593884412185253,-0.527708274620792,49,0,0,51.45223899999999,-4.073499999999999,16.593402249999993,77.1605,3,,1a30_ligand,2.64348,4.3,3.664707
1,0.0,1,1,1,1,0,0,0,1,0,0,0,0.4262591727513356,40,1.091,88,9,17.528614391257374,1.9476238212508197,4.815164890527417,0.0,4.815164890527417,121.16002447602013,4.169925001442312,119.13780734460028,51.61,0,1,0.6666666666666666,0.4,0.0,0.0,0.0,0.0,6.083643418932058,4.74510280626355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,2.01,0,9,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.111111111111111,3.239669421487603,2.0,0.0,2,1,252.02,0.6666666666666666,69,6.690234444311989,4.304530452640311,3.6421070322115847,2.5926389558431224,1.8008334588458517,1.250443623153493,0.4511844635310912,0.2357022603955158,5.464101615137754,2.9493587371177723,2.0490381056766584,1.229130869610119,0.7010445640842782,0.3997862457059241,0.1197055854655139,0.0505935334734977,1.040440114519881,1.054737854124365,1.040440114519881,0.3943375672974064,0.3313389786187642,0.2628917115316043,0.5,0.0,0.1666666666666666,0.0,0.2276709006307398,0.0,0.0481125224324688,0.0,0.0,0.0,0.0,0.1020620726159657,0.0589255650988789,0.0,0.0,0.0,0.0320750149549792,0.0160375074774896,0,0,1,5,1,0,0,0,0,8.518863000000001,9,11.69446647054846,14.03166304380081,-0.4819741882674534,0.2897944929839663,5.730706434306909,8.762508841319939,3,450.2913186464845,479.19469107421895,568.3245665009769,437.1110246406251,207.8992424296876,9.719960602552964,9.332363866360891,11.692344167637373,9.66472773272178,5.66472773272178,0.0543514751863849,-0.0303900559965569,0.004327596498405,-0.0010780142096587,-3.482459863490406e-05,18,6,6,20.521137000000003,-0.7955999999999998,0.6329793599999997,34.795700000000004,0,,1c5z_ligand,3.65,4.01,3.877962
2,0.0,3,3,1,1,0,0,0,3,0,0,0,0.31052826531707,88,1.8459999999999996,413,25,33.21145646159327,2.0757160288495795,8.26510941025364,0.0,8.26510941025364,209.2470245714357,5.169925001442312,178.16995245356716,64.92999999999999,0,0,1.0,0.5,0.0,0.0,0.0,0.0,6.713039994956551,16.783056320380933,0.0,5.536519614357362,0.0,0.0,0.0,0.0,0.0,0.1249999999999999,0.5,0.0,0.0,0.0,0.0,2.56,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111111111,4.349112426035503,2.204152249134948,0.0,2,3,601.03,0.875,226,11.120955864630137,7.720346690612276,7.3481716325497715,6.015081285169444,5.098536104099009,4.59668737638802,3.144847299964966,2.1863052839106483,8.643366018206592,5.0779818773043806,3.892647192048788,2.6608932488204173,1.8564545760574545,1.378012643005236,0.7444517296083546,0.4309949550742486,2.4974431949644007,3.830498982810994,5.907880437449991,0.8358258216628167,1.0633356314884828,1.3382581006480077,1.2440169358562925,0.0,0.1666666666666666,0.0,0.4882162012701224,0.0,0.0430331482911935,0.0,0.0,0.0,0.0,0.1916383190435099,0.4856676934815068,0.0,0.0,0.0,0.0642499530416663,0.1143399293261488,0,0,0,11,2,0,0,0,0,12.025277,18,11.662514948807036,14.025828279530993,-0.4069538331313979,0.3690317811151384,5.7775659895396565,9.74221183859719,0,1091.023412450226,1292.192383984314,1841.3417128501585,1757.2009666549084,1222.079491330322,17.079940903829442,18.664727732721783,27.32945546544357,26.495637398624016,19.384688335274745,0.1073391434707209,-0.0393045670033654,-0.0116993340696755,-0.0403198364072459,0.0541238804550575,27,16,14,33.514723000000004,1.8600000000000003,3.4596000000000013,65.45830000000001,0,1.9851002179431472,1bcu_ligand,2.92412,3.28,4.952896
3,0.2352941176470588,2,2,1,1,0,0,0,2,0,0,0,0.3969552381427335,150,-0.569,2488,48,56.96962014364824,1.9644696601258007,30.328292277869515,16.793700699010106,5.445370982085104,427.2734897760147,5.906890595608519,341.2434833086077,169.51999999999998,0,9,0.875,0.4666666666666667,0.0,0.0,0.0,0.0,7.505199384557045,19.08131733035671,1.832391403230034,7.278849464023621,1.5349993662246812,0.0,2.747785389765022,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.01,5,13,8,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0,3,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26222222222222,10.08,6.491083676268861,0.2352941176470588,2,9,1124.12,0.3448275862068966,686,21.98276318419594,13.324405966109302,13.763235142010874,10.144122761104706,6.650863008395799,5.545908396784002,4.036880777828515,2.7785023178526163,14.001342169441898,7.977806388929972,5.955868826716287,4.042360385930692,2.4974848420878404,1.675381956380346,0.9633841661123472,0.5704986530906682,8.086830114243906,8.42794037227943,11.47770440294076,1.5411370665513415,1.6549320718211296,1.820295607824607,3.865638387346412,0.3943375672974064,2.2725516685770097,1.0438566201357355,0.8208880715709137,0.0239698591147865,0.1521573855520107,0.0119849295573932,0.0,0.0,0.0,0.1360827634879543,0.2657544906677831,0.0,0.0,0.0,0.0481125224324688,0.0796118167717899,0,0,3,6,4,1,3,0,0,31.896897999999997,30,,,,,,,0,1455.1098951886063,1701.5972722043607,2365.577171564318,2462.007285972533,2122.771292143493,43.795745929709945,41.87507826960899,62.59696513468269,64.69431665668368,51.96501703752146,1.2717719947370267,-0.5438631728418536,-0.2509439387713796,0.324782155432135,-0.197823712617888,43,11,10,51.81310199999999,0.3889000000000007,0.1512432100000005,84.67570000000002,1,,1bzc_ligand,9.05433,4.92,6.335029
4,0.3157894736842105,6,4,4,4,0,0,2,4,0,0,0,0.2415839370430988,254,4.146,8656,78,98.62380794312992,2.0546626654818736,27.77450606718986,21.59616825047873,6.1783378167111485,652.7342400656023,6.7279204545632,603.4700344885574,157.57999999999998,3,15,0.8888888888888888,0.4705882352941176,0.0,0.0,0.0,0.0,0.0,51.89799333963733,0.0,25.43039539068885,0.0,0.0,2.4020867020825043,2.5198420997897464,0.1999999999999999,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,4.539999999999999,6,6,8,0,0,0,0,0,0,0,0,4,0,0,18,8,0,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.74724101103595,18.161431701972244,9.522,0.3157894736842105,6,10,6393.1,0.875,1420,33.62238061788425,23.295734091081687,20.805151393682493,18.042229729496437,15.07532480424176,11.870710290073209,7.534295089733041,5.619993500259196,26.261381667531747,16.095294000394706,12.32868118116418,9.035356808870992,6.5039241380342965,4.293259949233543,2.3876550050231318,1.5092821431216925,7.563805689307067,12.36007455639968,17.057986120762283,2.977303616282685,4.101210036228872,4.4839458286141305,2.885787425766736,0.0,0.9003400054336044,0.0,1.4100447364891588,0.0,0.2539949502922343,0.0,0.0,0.0,0.1571348402636772,0.8612589854956089,1.1487342062625872,0.0,0.0,0.1178511301977579,0.3674185417218203,0.4192853164544796,0,0,2,18,6,2,10,0,0,50.79628,53,11.689065745879317,16.009816778824252,-0.4179032442744079,0.3955449023378819,5.58966352881999,10.6055521796238,0,3276.080524719778,3867.253189222124,5400.965015381523,5502.015037729544,5192.193214680715,54.91571288688053,56.98564750404741,81.41748642733688,91.39330261980086,88.1686462071872,1.1151733675629685,-0.3722257268490894,-0.4151883080439568,0.4064595104229886,-0.28170821162282,88,24,24,102.16772000000005,3.021399999999998,9.128857959999989,177.56300000000002,0,3.591894421292035,1eby_ligand,12.6199,9.7,8.599751
5,0.2647058823529412,5,4,5,4,0,0,0,4,1,0,0,0.2170664678769653,234,4.452,6793,78,91.91806899668012,2.0426237554817805,32.229398661476395,18.909727847403325,9.752067868093372,631.7408574894774,6.614709844115208,569.9945709518967,137.02,2,12,1.0,0.5,0.0,2.216731139857012,1.4024318059466003,0.0,0.0,40.481433557263365,0.0,10.0116233432273,0.0,0.0,1.8473731400194613,1.822394850971648,0.1428571428571428,0.0,0.0,0.0,0.0,0.2886751345948129,0.4999999999999999,3.99,0,9,4,0,0,0,0,0,0,1,0,4,0,0,19,4,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.28488129945856,17.594290657439448,9.582222222222224,0.2647058823529412,3,8,5416.11,0.8222222222222222,1166,31.81297954112573,21.773225376758447,19.396751830906258,16.562328091946128,13.122193437173356,11.027661919485622,7.236129469436346,5.570071994914074,25.049569211788835,14.979063514804697,11.1848878945644,8.230043072816281,5.815565885004746,4.138496518382472,2.513008380495564,1.6824880659062416,7.416220324962837,11.53529799800194,18.02397203340777,2.9075298052386978,4.1187110721158495,5.456594629585274,3.0223170773440424,0.1666666666666666,0.9901899138089084,0.1360827634879543,1.3037353222022263,0.0203996687120701,0.3037389688831183,0.0166562597554635,0.0,0.0,0.0,0.3895195511812306,0.3235444384774574,0.0,0.0,0.0,0.1240028226427154,0.0824003445471204,0,0,1,21,3,4,4,0,0,56.334659,49,11.68942020708648,31.978705255090755,-0.4190351267923698,0.4575470137887683,4.906251831957339,14.302254271090492,0,3680.008271467862,4373.512278573281,6273.565738656731,7537.780214003848,7587.887033120789,57.62897719106607,61.661444884359405,83.39718342108372,99.97514136907444,108.52499053938293,0.9207496995536668,-0.5044292021756493,0.182105386989642,0.0110556754825732,-0.5911351302074,82,24,24,96.325341,3.455500000000001,11.940480250000007,169.5317,0,3.874978689422697,1g2k_ligand,10.8805,7.96,8.41761
6,0.4,3,1,1,1,0,0,0,3,0,0,0,0.2488178700215141,102,1.7840000000000005,517,35,36.839402118784,2.046633451043556,8.227587415032582,2.547001383452082,5.680586031580504,243.32472411615132,5.321928094887363,249.84653494969504,60.5,0,0,1.0,0.5,0.1666666666666666,3.3410928130448703,3.224541952943937,0.6666666666666667,4.691280775167096,14.97600850881786,2.749459273997205,5.728313254622871,3.367386144928119,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.78,2,7,2,0,0,0,0,0,0,2,0,2,0,2,2,1,0,0,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.005,4.528616024973985,1.9834710743801651,0.4,2,1,1215.03,0.7222222222222222,232,12.91384908344359,8.541860550653997,8.346136989390393,7.046502835355184,6.7078327981793375,5.107361437097031,4.243115443880402,2.484991729488945,11.623426761158184,6.817531997492521,6.144902986178031,4.789143020656539,4.277608160411644,2.6765544560788266,1.9975759770637476,1.0123572208391538,4.101056457208999,8.032807269810501,12.061132404550388,2.889508275876038,5.360095543272101,7.09125203665309,1.8391519502467628,0.1178511301977579,0.5168256052173166,0.0962250448649376,1.3899563481038788,0.125,0.3799732281183093,0.0777510584910182,0.0,0.0,0.0,0.1554376142423653,0.5203913983899354,0.0,0.0,0.0,0.0758116340367642,0.2684362705572194,0,0,1,5,3,2,2,2,0,21.068933,20,11.694133399923654,16.00595735995507,-0.4029473840440041,0.3626235109141767,4.747358870956891,13.034993054500212,1,1621.9995504218753,1993.6535158891609,3079.727625455324,3317.3205312417017,2511.300744364503,19.494429638093905,20.830637776673903,32.88264517328186,36.9936394197087,33.35361972098518,0.2033712097220304,-0.1053920772572389,0.0071669938477945,-0.0011495018755918,0.0355474970968207,37,6,6,42.071067,1.150099999999999,1.3227300099999977,71.6449,0,,1gpk_ligand,5.26254,5.37,7.428387
7,0.5625,4,1,1,1,0,0,0,4,0,0,0,0.1923664778384229,112,1.752000000000001,584,38,40.013827319522186,2.1059909115538,8.78787869221914,2.553020051746328,6.234858640472813,257.3513415205909,5.459431618637297,257.4225195755617,49.47,0,0,1.0,0.5,0.0,1.9766210903754475,1.7402021601905782,0.3333333333333333,8.615607178830954,17.634241091272536,3.5615833407857185,5.728313254622871,3.367386144928119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,2.89,0,7,0,0,0,0,0,0,0,1,0,5,0,1,2,2,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.71900826446281,4.5,1.8432,0.5625,2,1,1507.03,0.8947368421052632,262,13.035169427003234,9.188307160060724,8.911015245388857,7.737042527370435,7.440165406182211,6.572673521100627,5.183639979912278,3.698763667274524,11.830533542344732,7.943088217505279,7.292329337858247,6.2851415830453465,5.825805549726885,4.851132940109069,3.4306177596537166,2.3150451881035523,3.9369354483896415,7.883349750649302,12.914024949001472,3.2101316323901408,6.291872764043951,9.706886196397226,1.670763257908804,0.0833333333333333,0.4281523501253911,0.0680413817439771,1.3048412157554852,0.1020620726159657,0.3797140912094283,0.0711294492161061,0.0,0.0,0.0,0.2276063978910685,0.6291580041826299,0.0,0.0,0.0,0.1863788793707271,0.4688243966902033,0,0,1,4,2,2,4,3,0,24.575346999999997,22,11.7031726876383,16.005957664334588,-0.4132045079794938,0.3620571117735168,4.756872172855061,13.336172573534792,2,1766.3583874539345,2210.310451380524,3463.4570503118293,3769.218792855103,2953.876654238281,20.494429638093905,22.99681970985435,36.04882710646231,39.99363941970869,36.187437787804726,0.2323999752822439,-0.122480612905038,0.0068948093924817,-0.0009680422900801004,0.0318738523013885,40,6,6,45.16465299999999,1.1270000000000011,1.270129000000003,74.03639999999999,0,,1gpn_ligand,5.88475,6.48,7.343387
8,0.6428571428571429,4,2,2,2,0,0,0,4,0,0,0,0.2112538802393809,170,5.885999999999999,5059,49,70.00490923890027,2.0589679187911845,17.426815818150853,5.089384952862395,12.337430865288471,468.6756209616811,6.20945336562895,491.80339415165673,98.93999999999998,2,13,0.9166666666666666,0.4782608695652174,0.0,0.0,0.0,0.0,30.53864062516004,23.83794761558101,0.0,4.298760491602375,0.0,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.6291339464594439,0.0,0.0,3.88,10,7,12,0,0,0,0,0,0,0,0,16,0,0,4,2,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.04601899196494,14.666666666666666,8.531040042999194,0.6428571428571429,4,2,5439.06,0.9411764705882352,1356,23.589364901994134,16.703509938206672,14.17916782748872,11.51732045810724,9.60604116221478,7.85275531735691,5.441098561547927,3.611125118878409,21.59430669505024,14.899483227566028,11.744434487229736,9.283350181913343,7.389249262792859,5.654315996575934,3.81470708612862,2.6162786473473267,3.459693643613776,5.783078327226668,8.164720868499282,2.143583419800633,3.4717546537551485,4.464642559069015,1.516182462832201,0.0,0.2721655269759087,0.0,0.8695427826249246,0.0,0.1767766952966369,0.0,0.0,0.0,0.0,0.2721655269759087,0.5995503630795435,0.0,0.0,0.0,0.1437287392826324,0.2825480632244957,0,0,2,6,2,2,16,0,0,51.33710799999999,37,11.71288315459268,16.007085824811284,-0.4150281329944224,0.3671201859870006,4.645700316225317,10.823953245999574,4,2440.8401832118625,2775.445245427313,3632.6862147326265,3622.565753288509,2898.6883664374022,36.98885927618781,38.9936394197087,51.76529034656369,52.65491497305647,45.37778397652677,0.45425818061564,-0.2545709800386574,0.0447383946392547,-0.0149196448467146,0.0564178454116319,78,12,12,84.62289199999998,3.502800000000004,12.269607840000026,133.92379999999997,0,,1h22_ligand,8.22537,9.1,7.121349
9,0.3888888888888889,4,2,1,1,0,0,0,4,0,0,0,0.1305163027124783,120,4.095,842,39,43.91764872433821,2.091316605920867,8.366841207652774,0.0,5.819516369570309,298.8104644571299,5.584962500721157,270.0441831451673,38.91,0,1,0.8333333333333334,0.4545454545454545,0.0,1.809757130735141,1.7024076564893666,0.0,7.23337064163639,23.83893424910561,0.0,13.16904897177404,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,3.11,2,11,2,0,0,0,0,0,0,1,0,4,0,1,3,2,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.583333333333334,5.570987654320987,2.491349480968858,0.3888888888888889,1,2,1429.03,0.8095238095238095,373,14.560113453385563,10.152198343190411,9.617595247382612,8.432311318292253,7.69823792486144,6.543252712790152,5.258221902157526,3.7646749555247694,12.950986023601214,8.102313028665979,6.763176407918537,5.226700167480798,4.21609348223374,3.299199649841221,2.261742870434376,1.4793311140377323,3.802769468415708,6.917612710079082,10.434984329067028,1.9937525095054884,3.165979222052716,4.295880419650881,1.636567389387617,0.0,0.3218699428968853,0.0,1.0044370526532027,0.0,0.1192067315328984,0.0,0.0,0.0,0.0,0.2369992402061613,0.6086476203974946,0.0,0.0,0.0,0.1278108751747435,0.277304552738553,0,0,0,8,3,1,4,2,0,21.850933,24,11.672990848151894,34.96938049305312,-0.4005385902039505,0.3722934045269835,5.859941121424496,11.413501430170363,0,1799.5698366242757,2194.2329446217104,3279.655328992893,3489.900935592884,2866.942996911475,29.43291051040174,26.45031643897943,40.90063287795886,44.3991786775002,40.24968992994378,0.1242576826742633,-0.0357188543142999,-0.0153144051823143,-0.0609109270960384,0.054323922844148,40,11,10,48.72906699999999,4.500599999999999,20.25540035999999,88.43849999999999,0,4.8253078389154105,1e66_ligand,6.32867,9.89,8.572925
